"Sample","Passage","Group","Strain","Species","Start.date","Extraction.date","Days.on.plate","X","Ct","block","Species.full"
"FBR13.1",1,"FBR13","JU4096","sp.66","4/20/2021 12:10","4/23/2021 12:30","3.013888889",NA,Inf,1,"C. sp. 66"
"FBR14.1",1,"FBR14","JU4096","sp.66","4/20/2021 11:00","4/23/2021 12:30","3.0625",NA,Inf,1,"C. sp. 66"
"FBR16.1",1,"FBR16","JU4094","sp.66","4/21/2021 11:30","4/25/2021 6:50","3.805555556",NA,13.3264,1,"C. sp. 66"
"FBR17.1",1,"FBR17","JU4094","sp.66","4/21/2021 11:30","4/25/2021 6:50","3.805555556",NA,Inf,1,"C. sp. 66"
"FBR18.1",1,"FBR18","JU4094","sp.66","4/21/2021 11:30","4/25/2021 6:50","3.805555556",NA,Inf,1,"C. sp. 66"
"FBR19.1",1,"FBR19","JU1428","tropicalis","4/21/2021 11:30","4/25/2021 6:50","3.805555556",NA,Inf,1,"C. tropicalis"
"FBR20.1",1,"FBR20","JU1428","tropicalis","4/20/2021 12:10","4/24/2021 6:30","3.763888889",NA,Inf,1,"C. tropicalis"
"FBR21.1",1,"FBR21","JU1428","tropicalis","4/21/2021 11:30","4/25/2021 6:50","3.805555556",NA,23.6575,1,"C. tropicalis"
"FBR22.1",1,"FBR22","VX80","latens","4/21/2021 11:30","4/25/2021 6:50","3.805555556",NA,25.0053,1,"C. latens"
"FBR23.1",1,"FBR23","VX80","latens","4/21/2021 11:30","4/25/2021 6:50","3.805555556",NA,22.7284,1,"C. latens"
"FBR24.1",1,"FBR24","VX80","latens","4/21/2021 11:30","4/25/2021 6:50","3.805555556",NA,39.8325,1,"C. latens"
"FBR25.1",1,"FBR25","JU1873","wallacei","4/20/2021 12:10","4/23/2021 12:30","3.013888889",NA,Inf,1,"C. wallacei"
"FBR26.1",1,"FBR26","JU1873","wallacei","4/20/2021 11:00","4/23/2021 12:30","3.0625",NA,Inf,1,"C. wallacei"
"FBR27.1",1,"FBR27","JU1873","wallacei","4/20/2021 12:10","4/23/2021 12:30","3.013888889",NA,Inf,1,"C. wallacei"
"FBR28.1",1,"FBR28","ZF1092","sp.25","4/21/2021 11:30","4/25/2021 6:50","3.805555556",NA,Inf,1,"C. sp. 25"
"FBR29.1",1,"FBR29","ZF1092","sp.25","4/21/2021 11:30","4/26/2021 15:15","5.15625",NA,Inf,1,"C. sp. 25"
"FBR30.1",1,"FBR30","ZF1092","sp.25","4/21/2021 11:30","4/25/2021 6:50","3.805555556",NA,Inf,1,"C. sp. 25"
"FBR37.1",1,"FBR37","SB454","sulstoni","4/20/2021 11:00","4/24/2021 6:30","3.8125",NA,36,1,"C. sulstoni"
