"","Sample","Strain","Species","Start.date","Extraction.date","Treatment","Days.on.plate","Ct","block"
"256","FBM17","EG4181","briggsae","2/25/2021 11:45","3/2/2021 11:45","virus",5,34.1127,6
"257","FBM18","EG4181","briggsae","2/25/2021 11:45","3/1/2021 11:55","virus",4.006944444,34.0391,6
"258","FBM19","JU4061","sp.64","2/25/2021 11:45","3/1/2021 11:55","virus",4.006944444,33.7175,6
"259","FBM20","JU4061","sp.64","2/25/2021 11:45","3/1/2021 10:25","virus",3.944444444,Inf,6
"260","FBM21","JU4061","sp.64","2/25/2021 11:45","3/1/2021 10:25","virus",3.944444444,Inf,6
"261","FBM22","JU2837","sp.24","2/25/2021 11:45","3/5/2021 10:50","virus",7.961805556,Inf,6
"262","FBM23","JU2837","sp.24","2/25/2021 11:45","3/4/2021 12:45","virus",7.041666667,34.5781,6
"263","FBM24","JU2837","sp.24","2/25/2021 11:45","3/5/2021 10:50","virus",7.961805556,27.7022,6
"264","FBM25","ED3083","briggsae","2/25/2021 11:45","3/2/2021 11:45","virus",5,Inf,6
"265","FBM26","ED3083","briggsae","2/25/2021 11:45","3/4/2021 12:45","virus",7.041666667,Inf,6
"266","FBM27","ED3083","briggsae","2/25/2021 11:45","3/3/2021 15:10","virus",6.142361111,Inf,6
"267","FBM28","JU1854","nouraguensis","2/25/2021 11:45","3/2/2021 11:45","virus",5,35.0616,6
"268","FBM29","JU1854","nouraguensis","2/25/2021 11:45","3/1/2021 11:55","virus",4.006944444,32.8364,6
"269","FBM30","JU1854","nouraguensis","2/25/2021 11:45","3/2/2021 11:45","virus",5,35.6271,6
"270","FBM31","JU3236","zanzibari","2/25/2021 11:45","3/1/2021 11:55","virus",4.006944444,Inf,6
"271","FBM32","JU3236","zanzibari","2/25/2021 11:45","3/1/2021 10:25","virus",3.944444444,34.0412,6
"272","FBM33","JU3236","zanzibari","2/25/2021 11:45","3/1/2021 10:25","virus",3.944444444,33.273,6
"273","FBM34","JU1401","elegans","2/25/2021 11:45","3/1/2021 11:55","virus",4.006944444,14.1503,6
"274","FBM35","JU1401","elegans","2/25/2021 11:45","3/1/2021 11:55","virus",4.006944444,12.9184,6
"275","FBM36","JU1401","elegans","2/25/2021 11:45","3/1/2021 10:25","virus",3.944444444,12.7071,6
"276","FBM37","PB206","remanei","2/25/2021 11:45","3/2/2021 11:45","virus",5,34.203,6
"277","FBM38","PB206","remanei","2/25/2021 11:45","3/2/2021 11:45","virus",5,30.2148,6
"278","FBM39","PB206","remanei","2/25/2021 11:45","3/1/2021 11:55","virus",4.006944444,Inf,6
"279","FBM40","JU1082","remanei","2/25/2021 11:45","3/2/2021 11:45","virus",5,33.3171,6
"280","FBM41","JU1082","remanei","2/25/2021 11:45","3/2/2021 11:45","virus",5,33.3215,6
"281","FBM42","JU1082","remanei","2/25/2021 11:45","3/2/2021 11:45","virus",5,Inf,6
"282","FBM43","EG5268","nigoni","2/25/2021 11:45","3/1/2021 11:55","virus",4.006944444,35.0165,6
"283","FBM44","EG5268","nigoni","2/25/2021 11:45","3/1/2021 10:25","virus",3.944444444,Inf,6
"284","FBM45","EG5268","nigoni","2/25/2021 11:45","3/2/2021 11:45","virus",5,35.4845,6
"285","FBM46","SB129","brenneri","2/25/2021 11:45","3/4/2021 12:45","virus",7.041666667,Inf,6
"286","FBM47","SB129","brenneri","2/25/2021 11:45","3/4/2021 12:45","virus",7.041666667,35,6
"287","FBM48","SB129","brenneri","2/25/2021 11:45","3/5/2021 10:50","virus",7.961805556,Inf,6
"288","FBM49","ED3042","elegans","2/25/2021 11:45","3/1/2021 11:55","virus",4.006944444,13.5787,6
"289","FBM50","ED3042","elegans","2/25/2021 11:45","3/1/2021 10:25","virus",3.944444444,13.5074,6
"290","FBM51","ED3042","elegans","2/25/2021 11:45","3/1/2021 11:55","virus",4.006944444,12.7705,6
"291","FBM52","JU4056","sp.63","2/25/2021 11:45","3/2/2021 11:45","virus",5,25.9869,6
"292","FBM53","JU4056","sp.63","2/25/2021 11:45","3/3/2021 15:10","virus",6.142361111,24.6957,6
"293","FBM54","JU4056","sp.63","2/25/2021 11:45","3/2/2021 11:45","virus",5,22.7852,6
"294","FBM55","LKC28","brenneri","2/25/2021 11:45","3/2/2021 11:45",NA,5,33.003,6
"295","FBM56","LKC28","brenneri","2/25/2021 11:45","3/2/2021 11:45",NA,5,Inf,6
"296","FBM57","LKC28","brenneri","2/25/2021 11:45","3/2/2021 11:45",NA,5,34.7555,6
"297","FBM58","JU1202","sinica","2/25/2021 11:45","3/2/2021 11:45",NA,5,Inf,6
"298","FBM59","JU1202","sinica","2/25/2021 11:45","3/2/2021 11:45",NA,5,Inf,6
"299","FBM60","JU1202","sinica","2/25/2021 11:45","3/2/2021 11:45",NA,5,32.6252,6
"300","FBQ4","N2","elegans","4/9/2021 10:30","4/13/2021 10:20","control",3.993055498,Inf,7
"301","FBQ5","N2","elegans","4/9/2021 10:30","4/13/2021 10:20","control",3.993055498,Inf,7
"302","FBQ6","N2","elegans","4/9/2021 10:30","4/13/2021 10:20","control",3.993055498,35.3498,7
"303","FBQ7","N2","elegans","4/9/2021 10:30","4/13/2021 10:20","virus",3.993055498,15.7887,7
"304","FBQ8","N2","elegans","4/9/2021 10:30","4/13/2021 10:20","virus",3.993055498,16.2326,7
"305","FBQ9","N2","elegans","4/9/2021 10:30","4/13/2021 10:20","virus",3.993055498,16.535,7
"306","FBQ10","JU1580","elegans","4/9/2021 10:30","4/13/2021 10:20","virus",3.993055498,17.1913,7
"307","FBQ11","JU1580","elegans","4/9/2021 10:30","4/13/2021 10:20","virus",3.993055498,10.646,7
"308","FBQ12","JU1580","elegans","4/9/2021 10:30","4/13/2021 10:20","virus",3.993055498,15.0248,7
"309","FBQ13","JU1853","macrosperma","4/9/2021 10:30","4/13/2021 10:20","virus",3.993055498,33.2808,7
"310","FBQ14","JU1853","macrosperma","4/9/2021 10:30","4/13/2021 10:20","virus",3.993055498,34.727,7
"311","FBQ15","JU1853","macrosperma","4/9/2021 10:30","4/13/2021 10:20","virus",3.993055498,35.006,7
"312","FBQ16","JU1593","afra","4/9/2021 10:30","4/14/2021 12:30","virus",5.083333333,35.632,7
"313","FBQ17","JU1593","afra","4/9/2021 10:30","4/14/2021 12:30","virus",5.083333333,Inf,7
"314","FBQ18","JU1593","afra","4/9/2021 10:30","4/14/2021 12:30","virus",5.083333333,Inf,7
"315","FBQ19","QX1182","sp.8","4/9/2021 10:30",NA,"virus",-44295.4375,NA,7
"316","FBQ20","QX1182","sp.8","4/9/2021 10:30",NA,"virus",-44295.4375,NA,7
"317","FBQ21","QX1182","sp.8","4/9/2021 10:30",NA,"virus",-44295.4375,NA,7
"318","FBQ22","JU724","latens","4/9/2021 10:30","4/16/2021 13:30","virus",7.125,21.0976,7
"319","FBQ23","JU724","latens","4/9/2021 10:30","4/16/2021 13:30","virus",7.125,18.6576,7
"320","FBQ24","JU724","latens","4/9/2021 10:30","4/16/2021 13:30","virus",7.125,26.001,7
"321","FBQ25","JU1426","castelli","4/9/2021 10:30","4/18/2021 6:15","virus",8.822916667,Inf,7
"322","FBQ26","JU1426","castelli","4/9/2021 10:30","4/18/2021 6:15","virus",8.822916667,33.2107,7
"323","FBQ27","JU1426","castelli","4/9/2021 10:30","4/18/2021 6:15","virus",8.822916667,17.4946,7
"324","FBQ28","JU1667","monodelphis","4/9/2021 10:30",NA,"virus",-44295.4375,NA,7
"325","FBQ29","JU1667","monodelphis","4/9/2021 10:30",NA,"virus",-44295.4375,NA,7
"326","FBQ30","JU1667","monodelphis","4/9/2021 10:30",NA,"virus",-44295.4375,NA,7
"327","FBQ31","JU2867","sp.24","4/9/2021 10:30","4/18/2021 6:15","virus",8.822916667,Inf,7
"328","FBQ32","JU2867","sp.24","4/9/2021 10:30","4/19/2021 10:25","virus",9.996527778,Inf,7
"329","FBQ33","JU2867","sp.24","4/9/2021 10:30","4/18/2021 6:15","virus",8.822916667,Inf,7
"330","FBQ34","JU4045","sp.62","4/9/2021 10:30","4/14/2021 12:30","virus",5.083333333,Inf,7
"331","FBQ35","JU4045","sp.62","4/9/2021 10:30","4/14/2021 12:30","virus",5.083333333,34.9028,7
"332","FBQ36","JU4045","sp.62","4/9/2021 10:30","4/14/2021 12:30","virus",5.083333333,33.5275,7
"333","FBQ37","JU2613","portoensis","4/9/2021 10:30","4/14/2021 12:30","virus",5.083333333,Inf,7
"334","FBQ38","JU2613","portoensis","4/9/2021 10:30","4/14/2021 12:30","virus",5.083333333,Inf,7
"335","FBQ39","JU2613","portoensis","4/9/2021 10:30","4/16/2021 13:30","virus",7.125,37.052,7
"336","FBQ40","JU1905","imperialis","4/9/2021 10:30","4/13/2021 10:20","virus",3.993055556,32.7653,7
"337","FBQ41","JU1905","imperialis","4/9/2021 10:30","4/13/2021 10:20","virus",3.993055556,33.4532,7
"338","FBQ42","JU1905","imperialis","4/9/2021 10:30","4/13/2021 10:20","virus",3.993055556,34.4517,7
"339","FBQ43","JU2770","parvicauda","4/9/2021 10:30","4/20/2021 12:10","virus",11.06944444,Inf,7
"340","FBQ44","JU2770","parvicauda","4/9/2021 10:30","4/20/2021 12:10","virus",11.06944444,36,7
"341","FBQ45","JU2770","parvicauda","4/9/2021 10:30","4/20/2021 12:10","virus",11.06944444,Inf,7
